  ID                   Tag  Name
 266          Zion_Hero_03  AD-0RF
 267          Zion_Hero_04  7V-RTL
 268          Zion_Hero_05  P1-3CE
 269          Zion_Hero_06  12-ASH
 270          Zion_Hero_07  ME-RLN
 271          Zion_Hero_08  NK-0LA
 272          Zion_Hero_09  99-TNT
 273                QV-33N  QV-33N
 274                CL-0N3  CL-0N3
 275                DW-4LL  DW-4LL
 276                6S-H0T  6S-H0T
 277                GL-D0S  GL-D0S
 278              Revision  Revision
 279           Revision 17  Revision 17
 280         Revision 17++  Revision 17++
 281             Imprinter  Imprinter
 282           Z-Imprinter  Z-Imprinter
 283             Triborg_A  Triborg
 284             Triborg_B  Triborg
 285               Optimus  Optimus
 286                    A8  A8
 287                    A7  A7
 288                    A6  A6
 289                    A5  A5
 290                    A4  A4
 291                    A3  A3
 292                    A2  A2
 293                Zhirov  Zhirov
 294                 Perun  Perun
 295                Svarog  Svarog
 296            Data Miner  Data Miner
 297         Fake_God_Mode  God Mode
 298              God_Mode  God Mode
 299               Warlord  Warlord
 300             Warlord_B  Warlord
 301        Warlord AM-PH4  Warlord AM-PH4
 302        Warlord MG-163  Warlord MG-163
 303        Warlord HL-1SK  Warlord HL-1SK
 304        Warlord SH-K8T  Warlord SH-K8T
 305        Warlord D3-CKR  Warlord D3-CKR
 306        Warlord 4Z-XS3  Warlord 4Z-XS3
 307        Warlord KY-Z71  Warlord KY-Z71
 308 Sigix Containment Pod  Sigix Containment Pod
 309     Sigix Exoskeleton  Sigix Exoskeleton
 310         Sigix Warrior  Sigix Warrior
 311         Superfortress  Superfortress
 312               MAINC_A  MAIN.C
 313               MAINC_B  MAIN.C
 314             Architect  Architect
 315               Anomaly  Anomaly
 316    Lesser Abomination  Lesser Abomination
 317     Minor Abomination  Minor Abomination
 318   Greater Abomination  Greater Abomination
 319     Major Abomination  Major Abomination
 320  Ultimate Abomination  Ultimate Abomination
 321     Final Abomination  Final Abomination
 322                Player  Player
 323              Player 2  Player 2
 324                Sauler  Sauler
 325                   Elf  Elf
