  ID                          Tag  Name
 214       ACC_Door_Shootable_COM  Sealed Heavy Doors
 215            ACC_Door_Hackable  Sealed Barrier
 216          ACC_Shell_Shootable  Main Access Shell
 217             Main Access Lift  Main Access Lift
 219                STO_Door_Open  Heavy Doors
 220            STO_Door_Hackable  Sealed Heavy Doors
 221          STO_Shell_Shootable  Storage Shell
 222                 Scraplab SEP  Scraplab SEP
 223          Scrap Engine Manual  Scrap Engine Manual
 224                     Supplies  Supplies
 225                   C-Scrubber  C-Scrubber
 226                  UFD Members  UFD Members
 227                 UFD Registry  UFD Registry
 228                 UFD Projects  UFD Projects
 229         0bPrime Members Only  0bPrime Members Only
 230                UFD Mainframe  UFD Mainframe
 231                  UFD HQ Gate  UFD HQ Gate
 232            Triangle Research  Triangle Research
 233        SCR_Reading_Room_Door  Reading Room Entrance
 234                 UFD Synopsis  UFD Synopsis
 235                Book of Scrap  Book of Scrap
 236      Soloparser's Compendium  Soloparser's Compendium
 237              General History  General History
 238            Subcaves Research  Subcaves Research
 239                Sights of 0b1  Sights of 0b1
 240            Notable Derelicts  Notable Derelicts
 241            Western Derelicts  Western Derelicts
 242                   Miscellany  Miscellany
 243                SCR_Enclosure  Enclosure
 244               Comm Apparatus  Comm Apparatus
 245              Model Spaceship  Model Spaceship
 246             SCR_SOTW_Speaker  Machine
 247                 SCR_Mechanic  Machine
 248            Lifeworm Database  Lifeworm Database
 249      Replica Nuclear Reactor  Replica Nuclear Reactor
 250            CP Mission Status  CP Mission Status
 251           Latest Submissions  Latest Submissions
 252                        Demos  Demos
 254            Operating Theater  Operating Theater
 255       SG-Prototypes Database  SG-Prototypes Database
 256                       0bJail  0bJail
 257                IN-MT5's Safe  IN-MT5's Safe
 258                0b10 Analyses  0b10 Analyses
 259                 JC Pilot Fab  JC Pilot Fab
 260               Cannon Storage  Cannon Storage
 261          SS Performance Data  SS Performance Data
 262            Super Scrap Suits  Super Scrap Suits
 263      Modified UFD Components  Modified UFD Components
 264              Botcube Storage  Botcube Storage
 265                 Sword Access  Sword Access
 266           GAR_Door_Shootable  Garrison Door
 267                    GAR_Relay  Garrison Relay
 268                GAR_Generator  Phase Generator
 269            GAR_RIF_Installer  RIF Installer
 270            Garrison Terminal  Garrison Terminal
 271          GAR_Heavy_Assembler  H-XX Assembler
 272             GAR_QS_Assembler  QS Assembler
 273                     SHOP.Sys  SHOP.Sys
 274       MIN_Door_Hackable_Weak  Sealed Doors
 275           Assembled Analyzer  Assembled Analyzer
 276                   Components  Components
 277       Testing Chamber Shield  Testing Chamber Shield
 278            Testing Apparatus  Testing Apparatus
 279                 EX-Generator  EX-Generator
 280            BIN's Workstation  BIN's Workstation
 281            DEC's Workstation  DEC's Workstation
 282            HEX's Workstation  HEX's Workstation
 283               BIN's Terminal  BIN's Terminal
 284               DEC's Terminal  DEC's Terminal
 285               HEX's Terminal  HEX's Terminal
 286                   EXI_Farcom  FarCom Aligner
 287              EX-Vault Access  EX-Vault Access
 288       EX-Prototypes Database  EX-Prototypes Database
 289             EX-Message Board  EX-Message Board
 290           Repaired_Machine_T  Twisted Machinery
 291           Repaired_Machine_F  Twisted Machinery
 292           Repaired_Machine_R  Twisted Machinery
 293           Repaired_Machine_Y  Twisted Machinery
 294           Repaired_Machine_S  Twisted Machinery
 295              Testing Chamber  Testing Chamber
 296      4L-MR0's Prototype Logs  4L-MR0's Prototype Logs
 297                 SUB_Autodoor  Sealed Doors
 298                   Clippyterm  Clippyterm
 299     Triangle-emblazoned Door  Triangle-emblazoned Door
 300           UFD SUBCON Station  UFD SUBCON Station
 301      Subatomizer Accumulator  Subatomizer Accumulator
 302        SUBCON Basin Controls  SUBCON Basin Controls
 303                      WAR.Sys  WAR.Sys
 304         Prototyping Terminal  Prototyping Terminal
 305            CAV_Door_Hackable  Sealed Heavy Doors
 306             Outpost Terminal  Outpost Terminal
 307           CAV_Base_Generator  Outpost Generator
 308             CAV_Junk_Machine  Abandoned Machinery
 309            CAV_Reinforcement  Wall Reinforcements
 310           CAV_Door_Shootable  Locked Door
 311         CAV_Door_No_Terminal  Sealed Doors
 312                      Private  Private
 313                CAV_Thief_Den  Junk
 314            W-Fans Enter Here  W-Fans Enter Here
 315        LOW_Warlord_Fan_Stuff  Fandom Paraphernelia
 316           PRO_Base_Generator  Base Generator
 317        PRO_Target_Dispatcher  Target Dispatcher
 318          PRO_Test_Aggregator  Test Aggregator
 319            PRO_Data_Receptor  Data Receptor
 320            Matter Repository  Matter Repository
 321              Twisting Tunnel  Twisting Tunnel
 322             DAT_Data_Conduit  Data Conduit
 323             ORACLE Interface  ORACLE Interface
 324          ZHI_Cloak_Generator  Cloak Generator
 326                ZHI_Main_Door  Sealed Heavy Doors
 327            Zhirov's Terminal  Zhirov's Terminal
 328             Quantum Analyzer  Quantum Analyzer
 329         Zhirov's Workstation  Zhirov's Workstation
 330            WAR_Door_Hackable  Sealed Heavy Doors
 331          Vortex Lab Terminal  Vortex Lab Terminal
 332         Hacking Lab Terminal  Hacking Lab Terminal
 333           Relay Lab Terminal  Relay Lab Terminal
 334          Fabnet Lab Terminal  Fabnet Lab Terminal
 335          Intel Room Terminal  Intel Room Terminal
 336             WAR_Staging_Area  Staging Area
 337             RES_Staging_Area  Staging Area
 338             WAR_Mainc_Tunnel  Fortified Tunnel
 339                ZIO_Machinery  Twisted Machinery
 340      Deep Containment System  Deep Containment System
 341      ZIOWAR_Quarantine_Array  System Quarantine Field Array
 342          ZIO_Cloak_Generator  Cloak Generator
 343           ZIO_Stockpile_Wall  Stockpile Wall
 344           ZIO_Prototype_Hold  Prototype Hold
 345                 ZIO_Lab_Wall  Lab Wall
 346         ZIO_Repair_Shop_Wall  Repair Shop Wall
 347                Zion Terminal  Zion Terminal
 348           ZIO_Machinery_Fake  Twisted Machinery
 349           Conduit Teleporter  Conduit Teleporter
 350             ZIO_Memory_Banks  Memory Banks
 351                ZIO_Imprinter  IMP:G-0014175/C-0630194
 352               DEE_Z_Facility  Z-Facility
 353                      Z-Power  Z-Power
 355               DEE_Sigix_Wall  Impregnable Wall
 356               DEE_Sigix_Gate  Impregnable Gate
 357             DEE_Wall_Chamber  Wall Chamber
 358       DEE_Survey_Way_Station  Survey Way Station
 359            EXT_Door_Hackable  Sealed Heavy Doors
 361         EXT_Transfer_Station  Transfer Station
 362               Cetus Terminal  Cetus Terminal
 363 Cetus Manufacturing Controls  Cetus Manufacturing Controls
 364            CET_Door_Hackable  Sealed Heavy Doors
 365                        Doors  Doors
 366                          Bed  Bed
 367                      Lockers  Lockers
 368                        Table  Table
 369                  Lab Station  Lab Station
 370           Research Interface  Research Interface
 371              Cetus Mainframe  Cetus Mainframe
 372   Cetus Manufacturing Module  Cetus Manufacturing Module
 373             Archive Terminal  Archive Terminal
 374                  Archive Hub  Archive Hub
 375         HUB_Transfer_Station  Transfer Station
 376              HUB_Network_Hub  Network Hub
 377            ARM_Door_Hackable  Sealed Heavy Doors
 378      ARM_Blast_Door_Hackable  Sealed Blast Doors
 379          ARM_Shell_Shootable  Reinforced Shell
 380        Derelict Superweapon?  Derelict Superweapon?
 381      ARM_Dimension_Slip_Node  Dimensional Slip Node
 382                     NO ENTRY  NO ENTRY
 383            LAB_Door_Hackable  Sealed Barrier
 384        Active System Cloaker  Active System Cloaker
 385                   A0 Command  A0 Command
 386                   hN 3sDk7Qc  hN 3sDk7Qc
 387              A0 Storage 04-B  A0 Storage 04-B
 388              UC xVqbSdU M7q4  UC xVqbSdU M7q4
 389           Suspension Chamber  Suspension Chamber
 391                Blast Barrier  Blast Barrier
 392            TES_Door_Hackable  Sealed Heavy Doors
 393          TES_Shell_Shootable  Reinforced Shell
 394             Regeneration Lab  Regeneration Lab
 395                TES_Terrabomb  TB3 Reconfiguration Apparatus
 396            QUA_Door_Hackable  Sealed Heavy Doors
 397       QUA_Door_Hackable_Hard  Sealed Barrier
 398                    Sigix Lab  Sigix Lab
 399    Sigix Quarantine Controls  Sigix Quarantine Controls
 400     Sigix Quarantine Chamber  Sigix Quarantine Chamber
 401            Teleportation Lab  Teleportation Lab
 402                  Autopsy Lab  Autopsy Lab
 403            Research Terminal  Research Terminal
 404            SEC_Door_Hackable  Sealed Heavy Doors
 405        L2 Monitoring Station  L2 Monitoring Station
 406        Power Cell Monitoring  Power Cell Monitoring
 407                    Thrusters  Thrusters
 408            SEC_L2_Power_Cell  Power Cell
 409                   Wing Frame  Wing Frame
 410              FTL Facilitator  FTL Facilitator
 411                 Core Housing  Core Housing
 412                         Hull  Hull
 413                Armor Plating  Armor Plating
 414                   Navigation  Navigation
 415        Construction Supplies  Construction Supplies
 416                L2 Fabricator  L2 Fabricator
 417         Exoskeleton Controls  Exoskeleton Controls
 418                 Forge Plexus  Forge Plexus
 419                  Forge Pylon  Forge Pylon
 420           FP Insight Station  FP Insight Station
 421               FRG_FP_Network  Machine
 422       Superfortress Research  Superfortress Research
 423      Forge Research Registry  Forge Research Registry
 424                Research Cell  Research Cell
 425         Closed Research Cell  Closed Research Cell
 426                 FRG_ATD_Cell  ATD Cell
 427   Advanced Teleport Division  Advanced Teleport Division
 428               FRG_UFD_Tunnel  Secret Entrance
 429           Cave Seal Controls  Cave Seal Controls
 430               COM_Cave_Spawn  Dark Tunnel
 431          COM_Shell_Shootable  Access Shell
 432                  Access Lift  Access Lift
 433       COM_Teleport_Inhibitor  Wave Inhibitor
 434            COM_Door_Hackable  Sealed Barrier
 435             COM_0b10_Conduit  0b10 Conduit
 436       COM_Alternative_Access  Heavy Barrier
 438               COM_Cache_Door  Sealed Heavy Doors
 439         AC0_Singularity_Gate  Singularity Gate
 440                Gate Controls  Gate Controls
 442            AC0_Subspace_Node  Subspace Access Node
 443        AC0_Subspace_Node_Mid  Subspace Access Node
 444          AC0_Architect_Shell  Architect Shell
 445               Architect Logs  Architect Logs
 446      AC0_Abandoned_Machinery  Abandoned Machinery
 447          AC0_Shell_Shootable  Reinforced Shell
 448             Analysis Chamber  Analysis Chamber
 449              AC0_Workstation  Workstation
 450              YRD_Black_Space  Black Space
 451            YRD_New_Year_City  New Year City
